question,answer
"halo dok, saya ingin bertanya. umur saya 20 tahun, kenapa ya telapak tangan kiri saya sering sakit. uratnya terasa nyeri gitu terutama saat lagi main ho. terkadang bisa sembuh sendiri, kadang kalo digerakan juga sakit, tapi sakitnya nggak parah. terima kasih dok","selamat sore, terima kasih telah bertanya di alodokter. keluhan nyeri pada telapak tangan bisa terjadi karena berbagai kemungkinan faktor, diantaranya adalahcubital tunnel syndromecarpal tunnel syndromeneuropati periferasam uratradang pada persendian, misalnya karena riwayat cedera atau kelainan sistem kekebalan tubuhkemungkinannya didominasi kelainan saraf karena adanya riwayat kambuh ketika menggunakan handphone, di mana posisi tangan yang terus menerus seperti itu bisa memicu peradangan dan jepitan pada saraf."
"dok emang bener ya kalo kurang tidur itu bisa menyebabkan tekanan darah jadi rendah sudah 3 hari saya begadang karena tugas dan baru tidaur jam 2 pagi dan jam 5 sudah harus bangun lagi. tadi saya ke posyandu untuk tekanan darah, kolestrol sama asam urat. semuanya normal dok, kecuali tekanan darah aja yg rendah 8090. cara agar tekanan darah saya normal gmn ya dok sebelumnya sy tidak tahu punya darah rendah apa nggak.","terima kasih atas pertanyaannya.tekanan darah yang normal berada di antara gt9060 mmhg hingga lt13090 mmhg, sehingga bila tekanan darah yang terkuru di bawah rentang normal, atau kurang dari 9060 mmhg dapat menjadi tanda dari suatu hipotensi. hipotensi sendiri biasanya menjadi suatu tanda dari kondisi medis tertentu, namun tekanan darah sendiri bersifat fluktuatif yang dapat dipengaruhi berbagai hal seperti konsumsi makanan tertentu, aktivitas dan sebagainya."
"jadi saya kan kemaren buka puasa pake daging iga sama jeroan, sekarang leher saya bagian belakang terasa berat sekali nih dokter. kata orang kalau leher belakang terasa berat itu gejala kolesterol dok apakah bener demikian tapi di keluarga saya tidak ada yang punya riwayat penyakit itu dokter. obatnya pake apa dokter",kolestrol tinggi ialah suatu kondisi ketika kadar kolestrol di dalam darah melebihi dari batas normal. kolestrol yang berlebihan bisa menumpuk di pembuluh darah sehingga meningakatkan resiko terjadinya penyakit seperti serangan jantung dan stroke. kadar kolestrol yang normal di dalam darah ialah kurang dari 200 mgdl.
"alodokter, dok bayi saya usianya belum genap 1 bulan, hari ini melakukan imunisasi bcg, alhamdulillah bayi saya belum ada tanda2 mengalami demam. apakah boleh dok nanti saya mandikan bayi saya setelah imunisasi","imunisasi bcg diberikan untuk meningkatkan kekebalan bayi terhadap infeksi mycobacterium tuberculosis, yang menyebabkan penyakit tuberkulosis tbc. ketimbang imunisasi lain, imunisasi bcg memang sangat jarang menyebabkan bayi mengalami demam. namun, beberapa kipi kejadian ikutan pasca imunisasi mungkin saja muncul, misalnya berupa bekas suntikan yang kemerahan, bengkak, bahkan bernanah.usai diimunisasi bcg, bayi sangat perlu dimandikan. hal ini berguna untuk menjaga agar bekas suntikan imunisasinya selalu bersih dan tidak mengalami infeksi sekunder."
"permisi alodokter, dok saya kan sebelumnya pake foundation untuk kulit berminyak saya ini, eeh malah jadi iritasi dokter. perih, merah dan agak bercakbercak merah gitu dokter. saya coba olesi pake minyak zaitun gak mempan juga ya dokter. minta obat yang bisa saya beli di apotak ya dokter. terima kasih","kulit yang menjadi perih dan berbercakbercak kemerahan usai menggunakan foundation bisa jadi menandakan kulit yang meradang, misalnya karena iritasi atau malah alergi terhadap bahan dalam foundationnya tersebut. dalam ranah medis, kondisi seperti ini diistilahkan dengan dermatitis kontak.di samping itu, keluhan di kulit anda mungkin pula muncul karena faktor lain, misalnya eksim, infeksi jamur kulit, erupsi obat, herpes, sun burn, sindroma morfea, dan sebagainya."
"pagi dok. mohon solusi untuk kutu air di tangan saya dok. awalnya hanya sedikit lamalama merembet. saat masih sedikit saya suka pecahin dan mengeluarkan air disertai rasa gatal hebat. saya udah pakai salep jamur, hingga salep cina tapi tdk ada perubahan, yg ada malah semakin menyebar. saya pakai minyak kelapa kutu airnya hilang, tp kalau lama tdk pakai muncul lagi. obat yg cocok untuk kutu air ditangan apa ya dok apa yg harus dilakukan agar tdk menyebar luas",terima kasih atas pertanyaannya.kutu air merupakan infeksi kulit yang disebabkan oleh karena jamur. penyebaran kutu air dapat terjadi karena kulit yang lembap sehingga dapat memudahkan infeksi menyebar. infeksi tersebut meningkat kemungkinkannya bila kulit lembap terkena air atau kontak dengan air yang sering. mengenai kutu air yang menyebar tersebut harus dikaji lebih lanjut mengenai kondisinya.kutu air yang sebenarnya disebabkan oleh jamur biasanya dapat membaik sendiri dengan pemberian antijamur.
"dokter bayi saya usia 4 bulan, kemaren saya abis imunisasi, sekarang bayi saya demam dokter, saya mau kompres tapi masih bingung sebaiknya kalau bayi demam itu dikompres untuk penurun panas pake air apa dok dingin apa panas ya dokter tolong di jawab cepat dokter. makasih","alo, saya dr. tirtawati wijaya. terima kasih sudah bertanya ke alodokter.memandikan bayi memang dapat membantu untuk menurunkan demam dengan metode konveksi. untuk ini dibutuhkan air yang suhunya lebih rendah dibandingkan demamnya, supaya panas dari permukaan kulit bayi berpindah ke molekul air yang suhunya lebih rendah.jangan gunakan air panas atau hangat untuk kompres, karena ini akan membuat suhu tubuh justru makin panas  hangat, sebab perpindahan suhu terjadi dari yang lebih tinggi ke lebih rendah."
"alodokter, dok, mau konsul, anak saya merasa beberapa hari ini aneh dok kalau tidur. kadang saya sering memergokinya kaget saat tidur padahal disekililingnya tidak ada apaapa, kaya ada sensasi kejut terus dia kebangun kaget. dan dia bilang juga jantungnya berdebar kencang kalo lagi kebangun. penyebab sering kaget saat tidur dan jantung berdebar apa ya dok mohon bantuan dan solusinya ya dokter. trims","anak yang sering tampat kaget saat tidur dan jantungnya pun berdebar kencang bisa jadi murni disebabkan oleh mimpi buruk. bisa juga, keluhan yang anak anda alami tersebut muncul karena faktor lain, seperti hypnic jerk, kondisi lingkungan yang mengagetkan, atau juga penyakit tertentu, seperti asma, gastroesophageal reflux disease, sleep apnea, penyakit jantung bawaan, gangguan cemas berlebih, dan sebagainya.tanpa memeriksanya langsung, sulit rasanya bisa memastikan penyebab keluhannya tersebut."
"halo dok, saya mau tanya, saya baru sadar kalo di tangan saya sebelah kanan ada tumbuh benjolan warna hitam.. benjolannya terasa keras dan tidak sakit ketika saya pegang dok.. benjolan apakah yg saya alami ini dok","alo, terima kasih atas pertanyaannya untuk alodokter.benjolan yang muncul pada kulit tangan bisa disebabkan oleh banyak kemungkinan penyebab, yaitu seperti kista ganglion atau penumpukan cairan, kutil, tumor kulit, lipoma atau penumpukan jaringan lemak, tahi lalat, atau kista epidermoid yang merupakan penyumbatan se kulit mati di dalam kulit.kondisi tersebut hanya dapat dipastikan melalui pemeriksaan secara langsung, dimana dokter perlu melihat benjolan yang anda keluhkan, untuk dapat menentukan diagnosis dan penanganan yang tepat kedepannya."
"siang dok, saya wanita 27 tahun dan blm menikah. kenapa sya saya sering bgt tbtb merasa mual lalu muntah dan pusing, tapi kepala saya tidak sakit. mual nya tuh tbtb kadang lagi duduk, liat hp aja kadang mual. oiya nafsu makan saya tdk berkurang sih dok. itu gejala penyakit apa ya dok","mendadak mual, muntah, dan pusing pada wanita mungkin pemicunya adalah fluktuasi hormonal yang wajar saat menjelang menstruasi. di samping itu, beragam keluhan ini mungkin juga dipicu oleh faktor lain, contohnya gastritis, gastroesophageal reflux disease, tukak peptikum, infeksi pencernaan, infeksi sistem organ lainnya, gangguan fungsi hati, anemia, radang usus, migrain, vertigo, hipotensi, gangguan psikosomatis, dan lain sebagainya."
"hallo dokter, dok saya pengantin muda nikah baru 5 hari lalu. ini merupakan hubungan intim pertama kali saya dokter, saya mau nanya dok, kan kemaren pas hubungan intim saya keluar darah, trs ini vagina saya sampe sekarang ini perih sekali dok, pas pipis jg rasa2nya takut, kaya sakit gitu dok. apakah ini normal dok untuk pengantinn barusoalnya saya takut ini jadinya sakit apa saya malah ada penyakit di vagina dok. mohon penjelasannya.","alo, saya dr. tirtawati wijaya. terima kasih sudah bertanya ke alodokter.ada beberapa hal yang dapat menyebabkan terjadinya keluar darah dari vagina dan rasa nyeri, antara lainrobeknya selaput daraaktivitas seksual kasar dan menyebabkan lecet nya dinding vaginavagina kering, misalnya karena tidak dilakukan foreplay memadai sebelum penetrasi, efek obat tertentu, stress emosional, dan sebagainya.penyakit tertentu seperti infeksi di vagina, adanya polip vagina, kanker leher rahim."
"dokterrrrr, jika ibu hamil suka sendawa terusmenerus itu pengaruh kehamilan apa karena gerd ya dok soalnya dia ngerasa perutnya kembung begah juga dok. jadi kita susah bedain soalnya dia itu kehamilanya masuk 8 bulan. mohon pencerhaanya. thks","sering sendawa disertai perut kembung biasanya wajar terjadi saat hamil akibat fluktuasi hormonal yang memicu peningkatan asam lambung dan akibat pembesaran janin yang mendesak lambung. akan tetapi, keluhan yang anda sebutkan bisa juga diperparah oleh beragam faktor lain, misalnya gerd, gastritis, obstruksi usus, alergi makanan, malabsorpsi karbohidrat, sindroma iritasi usus, gastroenteritis, radang usus, pembesaran hati atau limpa, batu atau radang empedu, cemas berlebihan, efek samping obat, konsumsi makanan dan minuman yang mengandung banyak gas, dan sebagainya."
"maaf dokter ganggu waktunya, perkenalkan dok, saya wanita usia 27 th saat ini saya mengandung usia 3 bulan. semenjak hamil saya jd punya masalah sakit tulang ekor, ini terasa sekali saat posisi duduk, berdiri dari duduk, maupun posisi berdiri, saya mau minum obat nyeri tp takut dok, soalnya saya kan hamil. jika sakit begini sebaiknya di pake banyak beristirahat atau dibawa ke aktivitas biasa seperti berolahraga dan lainlain tolong di balas ya dokter.","selamat siang, terima kasih telah bertanya di alodokter. nyeri pada tulang ekor ketika hamil, bisa terjadi karena dipengaruhi berbagai faktor, diantaranya bisa karena pengaruh perubahan hormon, bisa juga karena pertambahan berat, perubahan sumbu topangan tubuh, saraf terjepit, dan bisa juga karena faktor psikologis berupa rasa tegang karena memahami kondisi kehamilan, sehingga tidak relaks saat berada di posisi tertentu dan membuat otot juga menjadi tegang dan terasa sakit."
"halo dok, saya pria berusia 22 tahun. sudah 2 hari ini telinga kanan saya kemasukan air dan belum keluar juga. ketika saat menggelengkan kepala telinga saya tdk enak dan berbunyi. solusinya gmn ya dok, suapaya air di dlm terlinga saya keluar. saya takut jadi infeksi dok..","terima kasih atas pertanyaannya.mengalami telinga yang kemasukan air dapat disebabkan salah satunya karena berenang. oleh karena air yang masuk ke telinga tersebut dapat berisiko menimbulkan infeksi pada telinga luar. infeksi telinga luar dapat menimbulkan keluhan antara lain menyebabkan telinga kemerahan, gatal pada telinga, nyeri pada daun telinga, serta keluar cairan bening tidak berbau."
"dok, saya malu sebenernya mau nanya, tapi saya galau dok takut juga, soalnya ini testis saya bengkak yg sebelah kanan dok, bengkaknya juga terasa sedikit ngilu dok.. penyebabnya apa ya dok","testis mengalami pembengkakan atau pembesaran sebelah dapat disebabkan oleh beberapa hal kondisi seperti orchitis yaitu infeksi atau peradangan pada testishidrokel ialah penumpukan cairan di dalam skrotumherniaepididimitis yaitu peradangan pada epididimis yang disebabkan infeksi bakteridan lainnyauntuk menegakan diagnosis pasti penyebab pembengkakan testis anda alami, diperlukan pemeriksaan secara langsung ke dokter, agar dilakukan pemeriksaan lebih lanjut seperti pemeriksaan fisik, degan melihat dan meraba serta melakukan pemeriksaan lainnya dengan begitu mendapatkan penanganan yang tepat."
selamat pagi dok.. saya sedang pilek dan indra penciuman saya terganggu dok. mencium bau parfum saja tidak bisa. apakah itu normal oiya hidung saya rasanya tersumbat. bagaimana caranya biar penciuman saya kembali normal terima kasih dok,"pilek dan gangguan penciuman biasanya mengindikasikan masalah di rongga hidung anda, misalnya karena rhinitis alergi, rhinitis vasomotor, kemasukan benda asing ke rongga hidung, deviasi septum hidung, polip hidung, dan sebagainya. bukan itu saja, keluhan yang anda alami bisa juga muncul atau diperparah oleh gangguan di organ lain selain rongga hidung, misalnya sinusitis, kanker nasofaring, laryngopharyngeal reflux disease, sensitifitas berlebih terhadap suatu obat, dan sebagainya.jika keluhan anda terasanya baru 13 hari ke belakang, baiknya jangan panik dulu."
halo dok.. saya mau tanya. tetangga saya itu kan penderita stroke terus katanya dia mengalami kehilangan penglihatan setengah. kata dokter itu hemianopsia bitemporal. kalo boleh tau itu apa ya dok terus apakah penderita stroke pasti mengalami gejala ini dok bagaimana mengatasinya dok terima kasih,"hemianopsia bitemporal adalah istilah medis untuk gejala berupa hilangnya penglihatan di kedua paruh kiri bidang visual kiri dan atau paruh kanan bidang visual kanan. kondisi ini menyebabkan penderita merasakan penglihatannya hilang separuh.ada beragam kemungkinan penyebabhemianopsia bitemporal. utamanya, kondisi ini terjadi karena gangguan pada kiasma optikum. penyebab gangguan ini ada banyak, bukan hanya stroke, namun bisa juga karena cidera kepala, tumor, pecah aneurisma, infeksi, gangguan neurodegeneratif, keracunan, dan sebagainya."
"halo dok, saya pria usia 26 tahun. saya baru sdar kalo di bawah rahang saya itu ada benjolan. benjolannya terasa lunak dokter, dan bergerak saat disentuh. cara mengobatinya bagaimana ya dok","alo, selamat siangbenjolan dibawah rahang kondisi ini dapat disebabkan oleh berapa hal penyebab seperti pembengkakan kelenjar getah beningpembengkaka kelanjar ludahmengalami kista atau tumorsaran saya untuk anda ke dokter secara langsung jika benjolan tersebut semakin membesar atau tidak hilang dalam 2 minggu, serta ada keluhan nyeri dan demam dengan menemui dokter, dokter bisa melakukan pemeriksaan ebih lanjut dan memberikan penanganan yang tepat sesuai penyebab yang mendasari."
"assalamualaikum dokter, dok saya tidak punya termometer di rumah, pas saya pegang badan saya terasa panas, dan mata jg panas dok. saya mau nanya dok. bagaimana cara mengecek suhu tubuh tanpa termometer","terima kasih atas pertanyaannya.pemeriksaan suhu tidak bisa dilakukan tanpa termometer karena pemeriksaan suhu memerlukan alat yang dapat mengukur secara objektif. demam sendiri ditandai dengan peningkatan suhu tubuh lebih dari normal yaitu bila di atas suhu 37.5 derajat celcius. sedangkan mengukur suhu misalnya menggunakan telapak tangan tidak bisa dilakukan karena pengukuran dilakukan menggunakan alat subjektif dimana telapak tangan pada tiap orang berbedabeda serta dipengaruhi kondisi lain misal udara sekitar, berkeringat, apakah cuci tangan sebelumnya dan sebagainya."
"siang dokter, dok adik saya yang masih usia sekolah smp, 14 tahun, dari kemaren vaginanya keluar flek coklat yang terus menerus keluar dok. ini udah 2 kali dialamin dok, tiap mau menstruasi. apakah ini normal dok apa bahaya dokter","alo,kapan adik anda menstruasi pertama kali berapa hari flek coklat muncul munculnya flek coklat sebelum haid bisa merupakan hal yang masih dalam batas normal, bisa juga merupakan gejala suatu penyakit."
"selamat siang, dok saya ibu dari anak usia 10 tahun, anak saya cowo dok. makan susah kalau gak disuruh dan di taro di depan matanya. sekarang bb dan tb anak saya. 28 kg dan 139 cm. postur tubuh anak saya dibanding sepupu2nya kok kecil sendiri. saya khawatir anak saya masuk range kurang gizi dok. bb ideal anak usia 10 tahun itu berapa ya","alo, selamat siang bundastatus gizi anak menjadi patokan untuk mengetahui seberapa baik pertumbuhan dan perkembangan anak. jika status gizinya tidak baik anak dapat mengalami gangguan gizi atau masalah perkembangan. orang dewasa diatas 18 tahun mengukur berat badan ideal atau indeks massa tubuh berdsarkan berat badan kilogram dan tinggi badan badan dalam meter. anak dibawah 18 tahun indikator status gizi anak yaitu berat badan, tinggi badan dan usia saling berhubungan dan masuk ke dalam grafik pertumbuhan anak sesuai jenis kelamin."
"dokter, mau nanya, anak saya kan batukbatuk usianya 7 tahun. selepas bangun tidur kok tiba tiba muncul bercak merah pada mata. apa penyebab munculnya bercak merah pada mata bagaimana cara mengatasi kondisi ini apakah menjadi gejala dari suatu penyakit jadi warna putih mata itu kaya ada darahnya dok.","alo, terima kasih atas pertanyaannya untuk alodokter.pada kondisi batuk yang terlalu keras hingga tampak seperti mengejan, maka dapat menimbulkan peningkatan tekanan pada otot di beberapa bagian tubuh, termasuk pada otot mata, sehingga dapt menimbulkan nyeri ataupun perdarahan subkonjungtiva, yang ditandai dengan adanya bercak merah pada mata.kondisi ini sebenarnya dapat membaik dengan sendirinya dalam waktu 714 hari, namun untuk mempercepat proses pemulihan, maka anda dapat secara rutin mengompres hangat mata anak."
assalamualaikum.. dok apakah seseorang yg terkena penyakit kanker payudar astadium 3 ada kemungkinan sembuh total dengan kemoterapi berapa lama pengobatannya apakah kanker sb bisa menyebar mohon penjelasannya dok... terima kasih,"waalaikumsalam, alo, terima kasih atas pertanyaannya untuk alodokter.kanker payudara merupakan kondisi dimana terjadinya pertumbuhan tumor yang ganas dan sulit dikendalikan pada jaringan payudara, sehingga dibutuhkan pengobatan yang agresif seperti kemotrapi, radioterapi, atau operasi yang hanya dapat ditentukan sesuai dengan stadium dari kanker.pada kanker payudara stadium 3, maka umumnya kanker bisa saja sudah menyebar ke kelenjar getah bening yang dapat lebih mudah menyebar ke organ lainnya, jika tidak dilakukan pengobatan seperti kemoterapi dan radioterapi."
"halo dok, saya inikan masih muda ya baru di 20 awal dok.. tapi saya punya keluhan macam orang tua dok, kaki saya sering banget kerasa panas dan juga nyeri dok, yg paling berasa itu di kaki yg sebelah kanan dok.. penyakit apa ya ini tuh dok","alo, terima kasih atas pertanyaannya untuk alodokter.keluhan kaki yang sering terasa nyeri dan panas, dapat disebabkan oleh aktivitas atau olahraga berlebihan sebelumnya yang melibatkan penggunaan kaki, adanya kelainan struktur tulang atau jaringan pada kaki, penyakit asam urat, ataupun karena adanya gangguan saraf perifer seperti yang disebut neuropati perifer."
"dok, saya mau tanya.. sekitar hari sabtu kemarin bawah telinga saya terasa sakit hingga ke rahang dan pipi jadi agak bengkak. saya ke dokter dikasih antibiotik, obst sakit, dan otilon yg ditetes 3x2tetes. setelah ditetes telinga jd terasa tersumbat dr semalam hingga skrg. apa ini memang prosesnya","selamat sore, terima kasih telah bertanya di alodokter. keluhan nyeri pada area bawah telinga, rahang dan pipi, bisa terjadi karena adanya infeksi pada tulang dibalik telinga atau yang disebut juga dengan mastoiditis, infeksi telinga luar, gigitan atau sengatan serangga, dan cedera misalnya karena benturan.mengenai pertanyaan anda terkait telinga yang terasa tersumbat setelah diberi obat, ini bisa jadi memang bagian dari kondisi yang anda alami. sebab normalnya, area liang telinga untuk bisa menerima suara dengan baik, kondisinya tidak terisi apapun, baik itu berupa cairan ataupun benda padat."
"halo dok, di telapak tangan saya ada benjolan kecil. saya gatau itu kapalan apa bukan, terus saya coba gunting untuk menghilangkannya tp tumbuh lagi dan terasa perih. cara untuk menghilangkannya gimana ya dok apakah harus pakai salep atau obat lainnya","benjolan kecil di telapak tangan yang terasa perih dan kambuhkembuhan mungkin pemicunya adalah mata ikan clavus. bisa juga, benjolan seperti ini diakibatkan oleh hal lain, seperti kutil, folikulitis, jerawat, herpes, kapalan, tumor, dermatitis kontak, dan beragam faktor lainnya.penanganan terbaik atas benjolan yang anda alami hanya bisa ditentukan jika penyebabnya telah diidentifikasi. oleh karenanya, lebih aman anda berkonsultasilah langsung dengan dokter kami di aplikasi alodokter atau periksakan diri ke dokter terdekat ya.."
"saya cewek dok, tapi saya punya bulu kaki, awlanya gak gitu lebat, tapi abis saya cukur kok saya ngerasanya bulu kaki saya malah tambah lebat ya dok ini beneran gaksih atau cuma mitos dan ini cuma perasaan saya aja","alo, selamat siangbulu kaki merupakan salah satu area yang mudah terlihat, salah satu untuk mengatasinya ialah dengan melakukan pencukuran bulu. namun mencukur bulu kaki didapatkan suatu kondisi nantinya bulu akan tumbuh lebat atau tumbuh lebih cepat pernyataan ini umumnya tidak lah benar ya, mencukur bulu tidak akan menyebabkan bulu menjadi lebat. walau begitu tetap saja pernyatan ini sering dipercaya hingga sekarang."
"halo dok, saya sedang hamil anak kedua. kurang lebih usia kandungan saya saat ini 9 minggu, tapi perutnya masih biasa aja belum membesar, kecuali setelah makan baru kelihatan bessar. saya jadi waswas dok, padahal ini kehamilan kedua sy.","selamat siang, terima kasih telah bertanya di alodokter. kami memahami kekhawatiran anda. salah satu pertanda dari kehamilan adalah membesarnya perut, karena rahim yang tadinya kosong, terisi oleh janin yang perlahan ukurannya semakin membesar. kondisi perut yang mulai terlihat membesar disebut dengan baby bump, dan hal ini ratarata baru akan terjadi pada usia 1620 minggu. sebagian orang mungkin saja bisa mulai nampak sejak usia kehamilan 10 minggu, tapi tidak nampak pada usia tersebut pun bukan berarti suatu kelainan."
